dat_id	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	variant1	variant2	response	response_string	picked_v1	picked_left	esp_response	esp_match	esp_v1	rt	time_elapsed	variation	file_name	column	base	log_odds	prompt	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_majority
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	11	Te bizony sokat ribegzel. Én is sokat...	ribegzek	ribegzem	ribegzek	ribegzem	0	ribegzek	TRUE	TRUE	ribegzek	TRUE	TRUE	10485	360427	lakok/lakom	lakok_1_high_typical	14	ribegzik	-0.1941560144409575	Te bizony sokat ribegzel. Én is sokat...	2	NA	1	38	FALSE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	13	Te bizony sokat spéslesz. Én is sokat...	spéslem	spéslek	spéslek	spéslem	1	spéslek	TRUE	FALSE	spéslek	TRUE	TRUE	6437	370874	lakok/lakom	lakok_1_high_typical	14	spéslik	1.1451323043030026	Te bizony sokat spéslesz. Én is sokat...	1	NA	1	8	TRUE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	15	Te bizony sokat herégszel. Én is sokat...	herégszek	herégszem	herégszek	herégszem	1	herégszem	FALSE	FALSE	herégszem	TRUE	FALSE	7957	382840	lakok/lakom	lakok_1_high_typical	14	herégszik	-0.6418538861723948	Te bizony sokat herégszel. Én is sokat...	2	NA	1	50	FALSE	TRUE	high	typical	FALSE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	17	Te bizony sokat sprökszöl. Én is sokat...	sprökszök	sprökszöm	sprökszök	sprökszöm	1	sprökszöm	FALSE	FALSE	sprökszöm	TRUE	FALSE	9650	396498	lakok/lakom	lakok_1_high_typical	14	sprökszik	-0.2876820724517809	Te bizony sokat sprökszöl. Én is sokat...	1	NA	1	41	FALSE	TRUE	high	typical	FALSE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	19	Te bizony sokat narjárzol. Én is sokat...	narjárzom	narjárzok	narjárzok	narjárzom	1	narjárzok	TRUE	FALSE	narjárzok	TRUE	TRUE	3440	406008	lakok/lakom	lakok_1_high_typical	14	narjárzik	0	Te bizony sokat narjárzol. Én is sokat...	2	NA	1	34	FALSE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	21	Te bizony sokat csíszlasz. Én is sokat...	csíszlom	csíszlok	csíszlok	csíszlom	1	csíszlok	TRUE	FALSE	csíszlok	TRUE	TRUE	3830	415517	lakok/lakom	lakok_1_high_typical	14	csíszlik	0.7419373447293773	Te bizony sokat csíszlasz. Én is sokat...	1	NA	1	16	FALSE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	23	Te bizony sokat klörlesz. Én is sokat...	klörlöm	klörlök	klörlök	klörlöm	1	klörlök	TRUE	FALSE	klörlök	TRUE	TRUE	6203	425729	lakok/lakom	lakok_1_high_typical	14	klörlik	0.6418538861723947	Te bizony sokat klörlesz. Én is sokat...	1	NA	1	19	FALSE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	25	Te bizony sokat tínylasz. Én is sokat...	tínylok	tínylom	tínylok	tínylom	0	tínylok	TRUE	TRUE	tínylok	TRUE	TRUE	4532	435238	lakok/lakom	lakok_1_high_typical	14	tínylik	0.4353180712578455	Te bizony sokat tínylasz. Én is sokat...	1	NA	1	24	FALSE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	27	Te bizony sokat feténylesz. Én is sokat...	feténylem	feténylek	feténylek	feténylem	1	feténylek	TRUE	FALSE	feténylek	TRUE	TRUE	3318	444747	lakok/lakom	lakok_1_high_typical	14	feténylik	1.5686159179138452	Te bizony sokat feténylesz. Én is sokat...	2	NA	1	4	TRUE	FALSE	high	typical	TRUE
hungarian-esp_esp_participant_SESSION_2022-11-19_09h47.48.87.csv	JT0KQV	Nő	2000	15	1	esp trial	29	Te bizony sokat brágaklasz. Én is sokat...	brágaklok	brágaklom	brágaklok	brágaklom	1	brágaklom	FALSE	FALSE	brágaklom	TRUE	FALSE	5473	454255	lakok/lakom	lakok_1_high_typical	14	brágaklik	-0.325422400434628	Te bizony sokat brágaklasz. Én is sokat...	2	NA	1	42	FALSE	TRUE	high	typical	FALSE
